auto_name,key_path,value_kind,value_scalar,value_obj_id
AutoAutoformer,default_config.batch_size,object,,4b383a194607
AutoAutoformer,default_config.h,scalar,,
AutoAutoformer,default_config.hidden_size,object,,4b383a194607
AutoAutoformer,default_config.input_size_multiplier.0,scalar,1,
AutoAutoformer,default_config.input_size_multiplier.1,scalar,2,
AutoAutoformer,default_config.input_size_multiplier.2,scalar,3,
AutoAutoformer,default_config.input_size_multiplier.3,scalar,4,
AutoAutoformer,default_config.input_size_multiplier.4,scalar,5,
AutoAutoformer,default_config.learning_rate,object,,4889be87ce52
AutoAutoformer,default_config.loss,scalar,,
AutoAutoformer,default_config.max_steps,object,,4b383a194607
AutoAutoformer,default_config.n_head,object,,4b383a194607
AutoAutoformer,default_config.random_seed,object,,3946dcaa6f6e
AutoAutoformer,default_config.scaler_type,object,,4b383a194607
AutoAutoformer,default_config.windows_batch_size,object,,4b383a194607
AutoBiTCN,default_config.batch_size,object,,4b383a194607
AutoBiTCN,default_config.dropout,object,,4889be87ce52
AutoBiTCN,default_config.h,scalar,,
AutoBiTCN,default_config.hidden_size,object,,4b383a194607
AutoBiTCN,default_config.input_size_multiplier.0,scalar,1,
AutoBiTCN,default_config.input_size_multiplier.1,scalar,2,
AutoBiTCN,default_config.input_size_multiplier.2,scalar,3,
AutoBiTCN,default_config.input_size_multiplier.3,scalar,4,
AutoBiTCN,default_config.input_size_multiplier.4,scalar,5,
AutoBiTCN,default_config.learning_rate,object,,4889be87ce52
AutoBiTCN,default_config.loss,scalar,,
AutoBiTCN,default_config.max_steps,object,,4b383a194607
AutoBiTCN,default_config.random_seed,object,,3946dcaa6f6e
AutoBiTCN,default_config.scaler_type,object,,4b383a194607
AutoBiTCN,default_config.windows_batch_size,object,,4b383a194607
AutoDLinear,default_config.batch_size,object,,4b383a194607
AutoDLinear,default_config.h,scalar,,
AutoDLinear,default_config.input_size_multiplier.0,scalar,1,
AutoDLinear,default_config.input_size_multiplier.1,scalar,2,
AutoDLinear,default_config.input_size_multiplier.2,scalar,3,
AutoDLinear,default_config.input_size_multiplier.3,scalar,4,
AutoDLinear,default_config.input_size_multiplier.4,scalar,5,
AutoDLinear,default_config.learning_rate,object,,4889be87ce52
AutoDLinear,default_config.loss,scalar,,
AutoDLinear,default_config.max_steps,object,,4889be87ce52
AutoDLinear,default_config.moving_avg_window,object,,4b383a194607
AutoDLinear,default_config.random_seed,object,,3946dcaa6f6e
AutoDLinear,default_config.scaler_type,object,,4b383a194607
AutoDLinear,default_config.windows_batch_size,object,,4b383a194607
AutoDeepAR,default_config.batch_size,object,,4b383a194607
AutoDeepAR,default_config.h,scalar,,
AutoDeepAR,default_config.input_size_multiplier.0,scalar,1,
AutoDeepAR,default_config.input_size_multiplier.1,scalar,2,
AutoDeepAR,default_config.input_size_multiplier.2,scalar,3,
AutoDeepAR,default_config.input_size_multiplier.3,scalar,4,
AutoDeepAR,default_config.input_size_multiplier.4,scalar,5,
AutoDeepAR,default_config.learning_rate,object,,4889be87ce52
AutoDeepAR,default_config.loss,scalar,,
AutoDeepAR,default_config.lstm_dropout,object,,4889be87ce52
AutoDeepAR,default_config.lstm_hidden_size,object,,4b383a194607
AutoDeepAR,default_config.lstm_n_layers,object,,3946dcaa6f6e
AutoDeepAR,default_config.max_steps,object,,4b383a194607
AutoDeepAR,default_config.random_seed,object,,3946dcaa6f6e
AutoDeepAR,default_config.scaler_type,object,,4b383a194607
AutoDeepAR,default_config.windows_batch_size,object,,4b383a194607
AutoDeepNPTS,default_config.batch_size,object,,4b383a194607
AutoDeepNPTS,default_config.dropout,object,,4889be87ce52
AutoDeepNPTS,default_config.h,scalar,,
AutoDeepNPTS,default_config.hidden_size,object,,4b383a194607
AutoDeepNPTS,default_config.input_size_multiplier.0,scalar,1,
AutoDeepNPTS,default_config.input_size_multiplier.1,scalar,2,
AutoDeepNPTS,default_config.input_size_multiplier.2,scalar,3,
AutoDeepNPTS,default_config.input_size_multiplier.3,scalar,4,
