auto_name,param,required,default_kind,default_scalar,default_obj_id,kind
AutoAutoformer,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoAutoformer,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoAutoformer,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoAutoformer,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoAutoformer,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoAutoformer,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoAutoformer,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoAutoformer,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoAutoformer,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoAutoformer,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoAutoformer,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoAutoformer,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoAutoformer,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoBiTCN,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoBiTCN,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoBiTCN,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoBiTCN,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoBiTCN,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoBiTCN,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoBiTCN,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoBiTCN,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoBiTCN,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoBiTCN,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoBiTCN,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoBiTCN,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoBiTCN,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoDLinear,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
