library,exog_role,dtype_key,dtype_group,accepted_dataset,accepted_fit,dataset_error,fit_error
neuralforecast,future,bool,numeric_like,True,,,
neuralforecast,future,category_int,category,True,,,
neuralforecast,future,category_str,category,True,,,
neuralforecast,future,complex,numeric_complex,True,,,
neuralforecast,future,float32,numeric,True,,,
neuralforecast,future,float64,numeric,True,,,
neuralforecast,future,int32,numeric,True,,,
neuralforecast,future,int64,numeric,True,,,
neuralforecast,future,datetime64,datetime,False,,"ValueError: Invalid frequency: H. Failed to parse with error message: ValueError(""Invalid frequency: H. Failed to parse with error message: KeyError('H'). Did you mean h?"") Did you mean h?",
neuralforecast,future,object_mixed,object_mixed,False,,ValueError: could not convert string to float: 's0',
neuralforecast,future,object_str,string_like,False,,ValueError: could not convert string to float: 's0',
neuralforecast,future,string,string,False,,ValueError: could not convert string to float: 's0',
neuralforecast,future,timedelta64,datetime_like,False,,"TypeError: float() argument must be a string or a real number, not 'Timedelta'",
neuralforecast,historical,bool,numeric_like,True,,,
neuralforecast,historical,category_int,category,True,,,
neuralforecast,historical,category_str,category,True,,,
neuralforecast,historical,complex,numeric_complex,True,,,
neuralforecast,historical,float32,numeric,True,,,
neuralforecast,historical,float64,numeric,True,,,
neuralforecast,historical,int32,numeric,True,,,
neuralforecast,historical,int64,numeric,True,,,
neuralforecast,historical,datetime64,datetime,False,,"ValueError: Invalid frequency: H. Failed to parse with error message: ValueError(""Invalid frequency: H. Failed to parse with error message: KeyError('H'). Did you mean h?"") Did you mean h?",
neuralforecast,historical,object_mixed,object_mixed,False,,ValueError: could not convert string to float: 's0',
neuralforecast,historical,object_str,string_like,False,,ValueError: could not convert string to float: 's0',
neuralforecast,historical,string,string,False,,ValueError: could not convert string to float: 's0',
neuralforecast,historical,timedelta64,datetime_like,False,,"TypeError: float() argument must be a string or a real number, not 'Timedelta'",
neuralforecast,static,bool,numeric_like,True,,,
neuralforecast,static,category_int,category,True,,,
neuralforecast,static,category_str,category,True,,,
neuralforecast,static,complex,numeric_complex,True,,,
neuralforecast,static,float32,numeric,True,,,
neuralforecast,static,float64,numeric,True,,,
neuralforecast,static,int32,numeric,True,,,
neuralforecast,static,int64,numeric,True,,,
neuralforecast,static,datetime64,datetime,False,,"ValueError: Invalid frequency: H. Failed to parse with error message: ValueError(""Invalid frequency: H. Failed to parse with error message: KeyError('H'). Did you mean h?"") Did you mean h?",
neuralforecast,static,object_mixed,object_mixed,False,,"TypeError: can't convert np.ndarray of type numpy.object_. The only supported types are: float64, float32, float16, complex64, complex128, int64, int32, int16, int8, uint64, uint32, uint16, u",
neuralforecast,static,object_str,string_like,False,,"TypeError: can't convert np.ndarray of type numpy.object_. The only supported types are: float64, float32, float16, complex64, complex128, int64, int32, int16, int8, uint64, uint32, uint16, u",
neuralforecast,static,string,string,False,,"TypeError: can't convert np.ndarray of type numpy.object_. The only supported types are: float64, float32, float16, complex64, complex128, int64, int32, int16, int8, uint64, uint32, uint16, u",
neuralforecast,static,timedelta64,datetime_like,False,,"TypeError: can't convert np.ndarray of type numpy.timedelta64. The only supported types are: float64, float32, float16, complex64, complex128, int64, int32, int16, int8, uint64, uint32, uint1",
