model_name,auto_model_name,family,series_type,forecast_type,exog_type,exog_raw
Autoformer,AutoAutoformer,Transformer,Univariate,Direct,future,F
BiTCN,AutoBiTCN,CNN,Univariate,Direct,future,F/H/S
BiTCN,AutoBiTCN,CNN,Univariate,Direct,historical,F/H/S
BiTCN,AutoBiTCN,CNN,Univariate,Direct,static,F/H/S
DeepAR,AutoDeepAR,RNN,Univariate,Direct,future,F/S
DeepAR,AutoDeepAR,RNN,Univariate,Direct,static,F/S
DeepNPTS,AutoDeepNPTS,MLP,Univariate,Direct,future,F/H/S
DeepNPTS,AutoDeepNPTS,MLP,Univariate,Direct,historical,F/H/S
DeepNPTS,AutoDeepNPTS,MLP,Univariate,Direct,static,F/H/S
DilatedRNN,AutoDilatedRNN,RNN,Univariate,Direct,future,F/H/S
DilatedRNN,AutoDilatedRNN,RNN,Univariate,Direct,historical,F/H/S
DilatedRNN,AutoDilatedRNN,RNN,Univariate,Direct,static,F/H/S
FEDformer,AutoFEDformer,Transformer,Univariate,Direct,future,F
GRU,AutoGRU,RNN,Univariate,Both8,future,F/H/S
GRU,AutoGRU,RNN,Univariate,Both8,historical,F/H/S
GRU,AutoGRU,RNN,Univariate,Both8,static,F/H/S
HINT,AutoHINT,Any7,Both7,Both7,future,F/H/S
HINT,AutoHINT,Any7,Both7,Both7,historical,F/H/S
HINT,AutoHINT,Any7,Both7,Both7,static,F/H/S
Informer,AutoInformer,Transformer,Univariate,Direct,future,F
KAN,AutoKAN,KAN,Univariate,Direct,future,F/H/S
KAN,AutoKAN,KAN,Univariate,Direct,historical,F/H/S
KAN,AutoKAN,KAN,Univariate,Direct,static,F/H/S
LSTM,AutoLSTM,RNN,Univariate,Both8,future,F/H/S
LSTM,AutoLSTM,RNN,Univariate,Both8,historical,F/H/S
LSTM,AutoLSTM,RNN,Univariate,Both8,static,F/H/S
MLP,AutoMLP,MLP,Univariate,Direct,future,F/H/S
MLP,AutoMLP,MLP,Univariate,Direct,historical,F/H/S
MLP,AutoMLP,MLP,Univariate,Direct,static,F/H/S
MLPMultivariate,AutoMLPMultivariate,MLP,Multivariate,Direct,future,F/H/S
MLPMultivariate,AutoMLPMultivariate,MLP,Multivariate,Direct,historical,F/H/S
MLPMultivariate,AutoMLPMultivariate,MLP,Multivariate,Direct,static,F/H/S
NBEATSx,AutoNBEATSx,MLP,Univariate,Direct,future,F/H/S
NBEATSx,AutoNBEATSx,MLP,Univariate,Direct,historical,F/H/S
NBEATSx,AutoNBEATSx,MLP,Univariate,Direct,static,F/H/S
NHITS,AutoNHITS,MLP,Univariate,Direct,future,F/H/S
NHITS,AutoNHITS,MLP,Univariate,Direct,historical,F/H/S
NHITS,AutoNHITS,MLP,Univariate,Direct,static,F/H/S
RNN,AutoRNN,RNN,Univariate,Both8,future,F/H/S
RNN,AutoRNN,RNN,Univariate,Both8,historical,F/H/S
RNN,AutoRNN,RNN,Univariate,Both8,static,F/H/S
TCN,AutoTCN,CNN,Univariate,Direct,future,F/H/S
TCN,AutoTCN,CNN,Univariate,Direct,historical,F/H/S
TCN,AutoTCN,CNN,Univariate,Direct,static,F/H/S
TFT,AutoTFT,Transformer,Univariate,Direct,future,F/H/S
TFT,AutoTFT,Transformer,Univariate,Direct,historical,F/H/S
TFT,AutoTFT,Transformer,Univariate,Direct,static,F/H/S
TSMixerx,AutoTSMixerx,MLP,Multivariate,Direct,future,F/H/S
TSMixerx,AutoTSMixerx,MLP,Multivariate,Direct,historical,F/H/S
TSMixerx,AutoTSMixerx,MLP,Multivariate,Direct,static,F/H/S
TiDE,AutoTiDE,MLP,Univariate,Direct,future,F/H/S
TiDE,AutoTiDE,MLP,Univariate,Direct,historical,F/H/S
TiDE,AutoTiDE,MLP,Univariate,Direct,static,F/H/S
TimeXer,AutoTimeXer,Transformer,Multivariate,Direct,future,F
TimesNet,AutoTimesNet,CNN,Univariate,Direct,future,F
VanillaTransformer,AutoVanillaTransformer,Transformer,Univariate,Direct,future,F
xLSTM,AutoxLSTM,mLSTM,Univariate,Direct,future,F/H/S
xLSTM,AutoxLSTM,mLSTM,Univariate,Direct,historical,F/H/S
xLSTM,AutoxLSTM,mLSTM,Univariate,Direct,static,F/H/S
