model_name,auto_model_name,family,series_type,forecast_type,exog_raw,exog_future,exog_historical,exog_static,exog_none
Autoformer,AutoAutoformer,Transformer,Univariate,Direct,F,True,False,False,False
BiTCN,AutoBiTCN,CNN,Univariate,Direct,F/H/S,True,True,True,False
DeepAR,AutoDeepAR,RNN,Univariate,Direct,F/S,True,False,True,False
DeepNPTS,AutoDeepNPTS,MLP,Univariate,Direct,F/H/S,True,True,True,False
DilatedRNN,AutoDilatedRNN,RNN,Univariate,Direct,F/H/S,True,True,True,False
FEDformer,AutoFEDformer,Transformer,Univariate,Direct,F,True,False,False,False
GRU,AutoGRU,RNN,Univariate,Both8,F/H/S,True,True,True,False
HINT,AutoHINT,Any7,Both7,Both7,F/H/S,True,True,True,False
Informer,AutoInformer,Transformer,Univariate,Direct,F,True,False,False,False
iTransformer,AutoiTransformer,Transformer,Multivariate,Direct,-,False,False,False,True
KAN,AutoKAN,KAN,Univariate,Direct,F/H/S,True,True,True,False
LSTM,AutoLSTM,RNN,Univariate,Both8,F/H/S,True,True,True,False
MLP,AutoMLP,MLP,Univariate,Direct,F/H/S,True,True,True,False
MLPMultivariate,AutoMLPMultivariate,MLP,Multivariate,Direct,F/H/S,True,True,True,False
NBEATS,AutoNBEATS,MLP,Univariate,Direct,-,False,False,False,True
NBEATSx,AutoNBEATSx,MLP,Univariate,Direct,F/H/S,True,True,True,False
NHITS,AutoNHITS,MLP,Univariate,Direct,F/H/S,True,True,True,False
NLinear,AutoNLinear,MLP,Univariate,Direct,-,False,False,False,True
PatchTST,AutoPatchTST,Transformer,Univariate,Direct,-,False,False,False,True
RMoK,AutoRMoK,KAN,Multivariate,Direct,-,False,False,False,True
RNN,AutoRNN,RNN,Univariate,Both8,F/H/S,True,True,True,False
SOFTS,AutoSOFTS,MLP,Multivariate,Direct,-,False,False,False,True
StemGNN,AutoStemGNN,GNN,Multivariate,Direct,-,False,False,False,True
TCN,AutoTCN,CNN,Univariate,Direct,F/H/S,True,True,True,False
TFT,AutoTFT,Transformer,Univariate,Direct,F/H/S,True,True,True,False
TiDE,AutoTiDE,MLP,Univariate,Direct,F/H/S,True,True,True,False
TimeMixer,AutoTimeMixer,MLP,Multivariate,Direct,-,False,False,False,True
TimeLLM,-,LLM,Univariate,Direct,-,False,False,False,True
TimesNet,AutoTimesNet,CNN,Univariate,Direct,F,True,False,False,False
TimeXer,AutoTimeXer,Transformer,Multivariate,Direct,F,True,False,False,False
TSMixer,AutoTSMixer,MLP,Multivariate,Direct,-,False,False,False,True
TSMixerx,AutoTSMixerx,MLP,Multivariate,Direct,F/H/S,True,True,True,False
VanillaTransformer,AutoVanillaTransformer,Transformer,Univariate,Direct,F,True,False,False,False
xLSTM,AutoxLSTM,mLSTM,Univariate,Direct,F/H/S,True,True,True,False
