kind,name,module,qualname,doc,family,library,namespace,submodule_head,submodule
auto_model,AutoBiTCN,neuralforecast.auto,neuralforecast.auto.AutoBiTCN,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",CNN,neuralforecast,auto,,
auto_model,AutoTCN,neuralforecast.auto,neuralforecast.auto.AutoTCN,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",CNN,neuralforecast,auto,,
auto_model,AutoTimesNet,neuralforecast.auto,neuralforecast.auto.AutoTimesNet,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",CNN,neuralforecast,auto,,
auto_model,AutoDLinear,neuralforecast.auto,neuralforecast.auto.AutoDLinear,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Linear/MLP,neuralforecast,auto,,
auto_model,AutoMLP,neuralforecast.auto,neuralforecast.auto.AutoMLP,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Linear/MLP,neuralforecast,auto,,
auto_model,AutoMLPMultivariate,neuralforecast.auto,neuralforecast.auto.AutoMLPMultivariate,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Linear/MLP,neuralforecast,auto,,
auto_model,AutoNLinear,neuralforecast.auto,neuralforecast.auto.AutoNLinear,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Linear/MLP,neuralforecast,auto,,
auto_model,AutoTSMixer,neuralforecast.auto,neuralforecast.auto.AutoTSMixer,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Linear/MLP,neuralforecast,auto,,
auto_model,AutoTSMixerx,neuralforecast.auto,neuralforecast.auto.AutoTSMixerx,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Linear/MLP,neuralforecast,auto,,
auto_model,AutoDilatedRNN,neuralforecast.auto,neuralforecast.auto.AutoDilatedRNN,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",RNN,neuralforecast,auto,,
auto_model,AutoGRU,neuralforecast.auto,neuralforecast.auto.AutoGRU,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",RNN,neuralforecast,auto,,
auto_model,AutoLSTM,neuralforecast.auto,neuralforecast.auto.AutoLSTM,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",RNN,neuralforecast,auto,,
