library,exog_role,dtype_key,dtype_group,accepted_dataset,can_cast_to_float
neuralforecast,future,bool,numeric_like,True,True
neuralforecast,future,category_int,category,True,True
neuralforecast,future,complex,numeric_complex,True,True
neuralforecast,future,datetime64,datetime,True,True
neuralforecast,future,float32,numeric,True,True
neuralforecast,future,float64,numeric,True,True
neuralforecast,future,int32,numeric,True,True
neuralforecast,future,int64,numeric,True,True
neuralforecast,future,timedelta64,datetime_like,True,True
neuralforecast,future,category_str,category,True,False
neuralforecast,future,object_mixed,object_mixed,True,False
neuralforecast,future,object_str,string_like,True,False
neuralforecast,future,string,string,True,False
neuralforecast,historical,bool,numeric_like,True,True
neuralforecast,historical,category_int,category,True,True
neuralforecast,historical,complex,numeric_complex,True,True
neuralforecast,historical,datetime64,datetime,True,True
neuralforecast,historical,float32,numeric,True,True
neuralforecast,historical,float64,numeric,True,True
neuralforecast,historical,int32,numeric,True,True
neuralforecast,historical,int64,numeric,True,True
neuralforecast,historical,timedelta64,datetime_like,True,True
neuralforecast,historical,category_str,category,True,False
neuralforecast,historical,object_mixed,object_mixed,True,False
neuralforecast,historical,object_str,string_like,True,False
neuralforecast,historical,string,string,True,False
neuralforecast,static,bool,numeric_like,True,True
neuralforecast,static,category_int,category,True,True
neuralforecast,static,complex,numeric_complex,True,True
neuralforecast,static,datetime64,datetime,True,True
neuralforecast,static,float32,numeric,True,True
neuralforecast,static,float64,numeric,True,True
neuralforecast,static,int32,numeric,True,True
neuralforecast,static,int64,numeric,True,True
neuralforecast,static,object_mixed,object_mixed,True,True
neuralforecast,static,timedelta64,datetime_like,True,True
neuralforecast,static,category_str,category,True,False
neuralforecast,static,object_str,string_like,True,False
neuralforecast,static,string,string,True,False
