kind,name,module,qualname,doc,family,library,namespace,submodule_head,submodule
auto_model,AutoDeepAR,neuralforecast.auto,neuralforecast.auto.AutoDeepAR,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoDeepNPTS,neuralforecast.auto,neuralforecast.auto.AutoDeepNPTS,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoHINT,neuralforecast.auto,neuralforecast.auto.AutoHINT,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoKAN,neuralforecast.auto,neuralforecast.auto.AutoKAN,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoNBEATS,neuralforecast.auto,neuralforecast.auto.AutoNBEATS,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoNBEATSx,neuralforecast.auto,neuralforecast.auto.AutoNBEATSx,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoNHITS,neuralforecast.auto,neuralforecast.auto.AutoNHITS,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoRMoK,neuralforecast.auto,neuralforecast.auto.AutoRMoK,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoRNN,neuralforecast.auto,neuralforecast.auto.AutoRNN,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoSOFTS,neuralforecast.auto,neuralforecast.auto.AutoSOFTS,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoStemGNN,neuralforecast.auto,neuralforecast.auto.AutoStemGNN,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoTiDE,neuralforecast.auto,neuralforecast.auto.AutoTiDE,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
auto_model,AutoTimeMixer,neuralforecast.auto,neuralforecast.auto.AutoTimeMixer,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",Specialized,neuralforecast,auto,,
