kind,name,module,qualname,doc,family,library,namespace,submodule_head,submodule
model,DeepAR,neuralforecast.models.deepar,neuralforecast.models.deepar.DeepAR,DeepAR,Specialized,neuralforecast,models,deepar,deepar
model,DeepNPTS,neuralforecast.models.deepnpts,neuralforecast.models.deepnpts.DeepNPTS,DeepNPTS,Specialized,neuralforecast,models,deepnpts,deepnpts
model,KAN,neuralforecast.models.kan,neuralforecast.models.kan.KAN,KAN,Specialized,neuralforecast,models,kan,kan
model,NBEATS,neuralforecast.models.nbeats,neuralforecast.models.nbeats.NBEATS,NBEATS,Specialized,neuralforecast,models,nbeats,nbeats
model,NBEATSx,neuralforecast.models.nbeatsx,neuralforecast.models.nbeatsx.NBEATSx,NBEATSx,Specialized,neuralforecast,models,nbeatsx,nbeatsx
model,NHITS,neuralforecast.models.nhits,neuralforecast.models.nhits.NHITS,NHITS,Specialized,neuralforecast,models,nhits,nhits
model,RMoK,neuralforecast.models.rmok,neuralforecast.models.rmok.RMoK,Reversible Mixture of KAN,Specialized,neuralforecast,models,rmok,rmok
model,RNN,neuralforecast.models.rnn,neuralforecast.models.rnn.RNN,RNN,Specialized,neuralforecast,models,rnn,rnn
model,SOFTS,neuralforecast.models.softs,neuralforecast.models.softs.SOFTS,SOFTS,Specialized,neuralforecast,models,softs,softs
model,StemGNN,neuralforecast.models.stemgnn,neuralforecast.models.stemgnn.StemGNN,StemGNN,Specialized,neuralforecast,models,stemgnn,stemgnn
model,TiDE,neuralforecast.models.tide,neuralforecast.models.tide.TiDE,TiDE,Specialized,neuralforecast,models,tide,tide
model,TimeMixer,neuralforecast.models.timemixer,neuralforecast.models.timemixer.TimeMixer,TimeMixer,Specialized,neuralforecast,models,timemixer,timemixer
