auto_name,module,library,namespace,submodule,doc,has_default_config_attr,has_get_default_config,family
AutoAutoformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoBiTCN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,CNN
AutoDLinear,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Linear/MLP
AutoDeepAR,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoDeepNPTS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoDilatedRNN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,RNN
AutoFEDformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoGRU,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,RNN
AutoHINT,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",False,True,Specialized
AutoInformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoKAN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoLSTM,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,RNN
AutoMLP,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Linear/MLP
AutoMLPMultivariate,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Linear/MLP
AutoNBEATS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoNBEATSx,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoNHITS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoNLinear,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Linear/MLP
AutoPatchTST,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoRMoK,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoRNN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoSOFTS,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoStemGNN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoTCN,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,CNN
AutoTFT,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoTSMixer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Linear/MLP
AutoTSMixerx,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Linear/MLP
AutoTiDE,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoTimeMixer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Specialized
AutoTimeXer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoTimesNet,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,CNN
AutoVanillaTransformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoiTransformer,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,Transformer
AutoxLSTM,neuralforecast.auto,neuralforecast,auto,,"Class for Automatic Hyperparameter Optimization, it builds on top of `ray` to",True,True,RNN
