module,name,kind,signature,doc,file
timesfm,ForecastConfig,class,"(max_context: int = 0, max_horizon: int = 0, normalize_inputs: bool = False, window_size: int = 0, per_core_batch_size: int = 1, use_continuous_quantile_head: bool = False, force_flip_invariance: bool = True, infer_is_positive: bool = True, fix_quantile_crossing: bool = False, return_backcast: bool = False) -> None","Options for forecasting.

Attributes:
  max_context: The maximum context length. This is used by the complied decode
    function at inference time during batched inference. Any input time series
    with length less than max_context will be padded with zeros, and with
    length greater than max_context will be truncated.
  max_horizon: The maximum horizon length. This is used by the complied decode
    function at inference time during batched inference. The compiled cached
    decoding function will by default forecast till max_horizon.
  normalize_inputs: Whether to normalize the inputs. This is useful when the
    raw inputs are of extremely large or small magnitudes which may result in
    numerical issues.
  window_size: The window size for decomposed forecasting.
    TODO(siriuz42)",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch,class,"(*args, **kwargs) -> ~T",PyTorch implementation of TimesFM 2.5 with 200M parameters.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.compile,method,"(self, forecast_config: timesfm.configs.ForecastConfig, **kwargs) -> None","Attempts to compile the model for fast decoding.

See configs.ForecastConfig for more details on the supported flags.

Args:
  forecast_config: Configuration for forecasting flags.
  **kwargs: Additional keyword arguments to pass to model.compile().",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.forecast,method,"(self, horizon: int, inputs: list[numpy.ndarray]) -> tuple[numpy.ndarray, numpy.ndarray]",Forecasts the time series.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.forecast_with_covariates,method,"(self, inputs: list[typing.Sequence[float]], dynamic_numerical_covariates: dict[str, typing.Sequence[typing.Sequence[float]]] | None = None, dynamic_categorical_covariates: dict[str, typing.Sequence[typing.Sequence[int | str]]] | None = None, static_numerical_covariates: dict[str, typing.Sequence[float]] | None = None, static_categorical_covariates: dict[str, typing.Sequence[int | str]] | None = None, xreg_mode: str = 'xreg + timesfm', normalize_xreg_target_per_input: bool = True, ridge: float = 0.0, max_rows_per_col: int = 0, force_on_cpu: bool = False)","Forecasts on a list of time series with covariates.

To optimize inference speed, avoid string valued categorical covariates.

Args:
  inputs: A list of time series forecast contexts. Each context time series
    should be in a format convertible to JTensor by `jnp.array`.
  dynamic_numerical_covariates: A dict of dynamic numerical covariates.
  dynamic_categorical_covariates: A dict of dynamic categorical covariates.
  static_numerical_covariates: A dict of static numerical covariates.
  static_categorical_covariates: A dict of static categorical covariates.
  xreg_mode: one of ""xreg + timesfm"" or ""timesfm + xreg"". ""xreg + timesfm""
    fits a model on the residuals of the TimesFM forecast. ""timesfm + xreg""
    fits a model on the targets then forecasts on the residuals via TimesFM.
  norm",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.from_pretrained,method,"(pretrained_model_name_or_path: Union[str, pathlib.Path], *, force_download: bool = False, resume_download: Optional[bool] = None, proxies: Optional[Dict] = None, token: Union[bool, str, NoneType] = None, cache_dir: Union[str, pathlib.Path, NoneType] = None, local_files_only: bool = False, revision: Optional[str] = None, **model_kwargs) -> ~T","Download a model from the Huggingface Hub and instantiate it.

Args:
    pretrained_model_name_or_path (`str`, `Path`):
        - Either the `model_id` (string) of a model hosted on the Hub, e.g. `bigscience/bloom`.
        - Or a path to a `directory` containing model weights saved using
            [`~transformers.PreTrainedModel.save_pretrained`], e.g., `../path/to/my_model_directory/`.
    revision (`str`, *optional*):
        Revision of the model on the Hub. Can be a branch name, a git tag or any commit id.
        Defaults to the latest commit on `main` branch.
    force_download (`bool`, *optional*, defaults to `False`):
        Whether to force (re-)downloading the model weights and configuration files from the Hub, overriding
        the existing cache.
    proxies (`Dict[str, st",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.generate_model_card,method,"(self, *args, **kwargs) -> huggingface_hub.repocard.ModelCard",,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.load_checkpoint,method,"(self, path: str)",Loads a TimesFM model from a checkpoint.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.model,method,"(*args, **kwargs)",TimesFM 2.5 with 200M parameters.,c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
timesfm,TimesFM_2p5_200M_torch.push_to_hub,method,"(self, repo_id: str, *, config: Union[dict, huggingface_hub.hub_mixin.DataclassInstance, NoneType] = None, commit_message: str = 'Push model using huggingface_hub.', private: Optional[bool] = None, token: Optional[str] = None, branch: Optional[str] = None, create_pr: Optional[bool] = None, allow_patterns: Union[List[str], str, NoneType] = None, ignore_patterns: Union[List[str], str, NoneType] = None, delete_patterns: Union[List[str], str, NoneType] = None, model_card_kwargs: Optional[Dict[str, Any]] = None) -> str","Upload model checkpoint to the Hub.

Use `allow_patterns` and `ignore_patterns` to precisely filter which files should be pushed to the hub. Use
`delete_patterns` to delete existing remote files in the same commit. See [`upload_folder`] reference for more
details.

Args:
    repo_id (`str`):
        ID of the repository to push to (example: `""username/my-model""`).
    config (`dict` or `DataclassInstance`, *optional*):
        Model configuration specified as a key/value dictionary or a dataclass instance.
    commit_message (`str`, *optional*):
        Message to commit while pushing.
    private (`bool`, *optional*):
        Whether the repository created should be private.
        If `None` (default), the repo will be public unless the organization's default is private.
    token (`str`",c:\Users\hashimoto.ryohei\miniconda3\envs\kaiseki\Lib\site-packages\timesfm\__init__.py
